TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM,C1_NM_ENG,LST_CHN_DE
행정구역(시군구)별 성별 인구수,202401,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,62671,M,11140,중구,Jung-gu,2024-02-01
행정구역(시군구)별 성별 인구수,202402,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,62708,M,11140,중구,Jung-gu,2024-03-04
행정구역(시군구)별 성별 인구수,202403,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,62835,M,11140,중구,Jung-gu,2024-04-01
행정구역(시군구)별 성별 인구수,202404,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,62870,M,11140,중구,Jung-gu,2024-05-07
행정구역(시군구)별 성별 인구수,202405,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,62858,M,11140,중구,Jung-gu,2024-06-03
행정구역(시군구)별 성별 인구수,202306,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,217288,M,11170,용산구,Yongsan-gu,2023-07-06
행정구역(시군구)별 성별 인구수,202307,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,217042,M,11170,용산구,Yongsan-gu,2023-08-11
행정구역(시군구)별 성별 인구수,202308,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,216547,M,11170,용산구,Yongsan-gu,2023-09-04
행정구역(시군구)별 성별 인구수,202309,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,216152,M,11170,용산구,Yongsan-gu,2023-10-05
행정구역(시군구)별 성별 인구수,202310,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,215397,M,11170,용산구,Yongsan-gu,2023-11-03
행정구역(시군구)별 성별 인구수,202311,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,214381,M,11170,용산구,Yongsan-gu,2023-12-11
행정구역(시군구)별 성별 인구수,202312,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,213151,M,11170,용산구,Yongsan-gu,2024-01-04
행정구역(시군구)별 성별 인구수,202401,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,212175,M,11170,용산구,Yongsan-gu,2024-02-01
행정구역(시군구)별 성별 인구수,202402,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,211247,M,11170,용산구,Yongsan-gu,2024-03-04
행정구역(시군구)별 성별 인구수,202403,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,209849,M,11170,용산구,Yongsan-gu,2024-04-01
행정구역(시군구)별 성별 인구수,202404,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,207969,M,11170,용산구,Yongsan-gu,2024-05-07
행정구역(시군구)별 성별 인구수,202405,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,206475,M,11170,용산구,Yongsan-gu,2024-06-03
행정구역(시군구)별 성별 인구수,202306,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,104357,M,11170,용산구,Yongsan-gu,2023-07-06
행정구역(시군구)별 성별 인구수,202307,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,104221,M,11170,용산구,Yongsan-gu,2023-08-11
행정구역(시군구)별 성별 인구수,202308,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,103993,M,11170,용산구,Yongsan-gu,2023-09-04
행정구역(시군구)별 성별 인구수,202309,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,103804,M,11170,용산구,Yongsan-gu,2023-10-05
행정구역(시군구)별 성별 인구수,202310,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,103398,M,11170,용산구,Yongsan-gu,2023-11-03
행정구역(시군구)별 성별 인구수,202311,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,102925,M,11170,용산구,Yongsan-gu,2023-12-11
행정구역(시군구)별 성별 인구수,202312,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,102312,M,11170,용산구,Yongsan-gu,2024-01-04
행정구역(시군구)별 성별 인구수,202401,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,101793,M,11170,용산구,Yongsan-gu,2024-02-01
행정구역(시군구)별 성별 인구수,202402,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,101262,M,11170,용산구,Yongsan-gu,2024-03-04
행정구역(시군구)별 성별 인구수,202403,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,100488,M,11170,용산구,Yongsan-gu,2024-04-01
행정구역(시군구)별 성별 인구수,202404,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,99566,M,11170,용산구,Yongsan-gu,2024-05-07
행정구역(시군구)별 성별 인구수,202405,DT_1B040A3,남자인구수,Koreans (Male),T21,명,101,Person,행정구역(시군구)별,By Administrative District,98813,M,11170,용산구,Yongsan-gu,2024-06-03
행정구역(시군구)별 성별 인구수,202306,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,112931,M,11170,용산구,Yongsan-gu,2023-07-06
행정구역(시군구)별 성별 인구수,202307,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,112821,M,11170,용산구,Yongsan-gu,2023-08-11
행정구역(시군구)별 성별 인구수,202308,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,112554,M,11170,용산구,Yongsan-gu,2023-09-04
행정구역(시군구)별 성별 인구수,202309,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,112348,M,11170,용산구,Yongsan-gu,2023-10-05
행정구역(시군구)별 성별 인구수,202310,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,111999,M,11170,용산구,Yongsan-gu,2023-11-03
행정구역(시군구)별 성별 인구수,202311,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,111456,M,11170,용산구,Yongsan-gu,2023-12-11
행정구역(시군구)별 성별 인구수,202312,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,110839,M,11170,용산구,Yongsan-gu,2024-01-04
행정구역(시군구)별 성별 인구수,202401,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,110382,M,11170,용산구,Yongsan-gu,2024-02-01
행정구역(시군구)별 성별 인구수,202402,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,109985,M,11170,용산구,Yongsan-gu,2024-03-04
