manageNo,parkNm,parkSe,rdnmadr,lnmadr,latitude,longitude,parkAr,appnNtfcDate,institutionNm,phoneNumber,referenceDate,insttCode
11710-00157,올림픽공원,기타,서울특별시 송파구 올림픽로 424,서울특별시 송파구 방이동 88-3 외,37.520341,127.115518,1447122.3,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00158,탄천,기타,,서울특별시 송파구 장지동 ~ 한강합류점,37.499063,127.088061,161970.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00159,두레어린이공원,어린이공원,,서울특별시 송파구 마천동 364-5 일대,37.494278,127.156245,75.0,,서울특별시 송파구청,02-2147-3381,2023-06-30,3230000
11710-00087,섬굴,어린이공원,,서울특별시 송파구 마천동 128-2,37.496925,127.149266,368.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00088,솔바람,어린이공원,,서울특별시 송파구 장지동 843-1,37.4788427251,127.129415,1500.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00089,솔밭,어린이공원,,서울특별시 송파구 방이동 214,37.509068,127.1236308298,1500.1,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00090,수정,어린이공원,,서울특별시 송파구 문정동 23-5,37.4889204298,127.126227,1494.6,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00093,아랫말,어린이공원,,서울특별시 송파구 오금동 123-2,37.5048625237,127.137384,1500.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00094,아랫바람,어린이공원,,서울특별시 송파구 풍납동 306-9,37.532301,127.112232,198.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00095,아름,어린이공원,,서울특별시 송파구 석촌동 289-3,37.5033674806,127.1070590038,2338.7,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00096,안골,어린이공원,,서울특별시 송파구 오금동 66-12,37.502813,127.135319,1500.1,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00097,안산골,어린이공원,,서울특별시 송파구 가락동 152-3,37.497609,127.1266917571,1500.5,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00098,어사,어린이공원,,서울특별시 송파구 송파동 129,37.5073137239,127.113002,1653.4,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00099,영풍,어린이공원,,서울특별시 송파구 거여동 16,37.4951323392,127.1424979898,1500.4,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00100,옛동산,어린이공원,,서울특별시 송파구 방이동 121,37.5096493679,127.115877,1266.3,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00101,오동나무,어린이공원,,서울특별시 송파구 오금동 84,37.506227,127.1339064715,1500.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00102,오봉산,어린이공원,서울특별시 송파구 석촌호수로20길 13,서울특별시 송파구 석촌동 162,37.50612827,127.1023092,1508.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00103,용마,어린이공원,,서울특별시 송파구 마천동 45,37.4998404221,127.148556,1500.3,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00104,윗바람,어린이공원,,서울특별시 송파구 풍납동 295-4,37.5343706439,127.112122,291.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00105,임금샘,어린이공원,서울특별시 송파구 양재대로71길 2010,서울특별시 송파구 방이동 189,37.51120967,127.125048,1500.3,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00106,잔버들,어린이공원,,서울특별시 송파구 거여동 135-46,37.497372,127.144299,303.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00107,중대,어린이공원,,서울특별시 송파구 송파동 188,37.499678,127.115427,1497.8,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00108,진달래,어린이공원,,서울특별시 송파구 잠실본동 338,37.503675,127.086313,1738.1,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00109,천상,어린이공원,,서울특별시 송파구 마천동 610,37.494277,127.1590673729,12464.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00110,초록,어린이공원,,서울특별시 송파구 마천동 360,37.495639,127.156954,343.9,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00111,큰바위,어린이공원,,서울특별시 송파구 거여동 7,37.4981101708,127.142529,1508.1,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00113,투구봉,어린이공원,,서울특별시 송파구 가락동 185,37.494001,127.135365,1502.9,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00114,팔각정,어린이공원,,서울특별시 송파구 가락본동 118,37.492637,127.124131,1497.5,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00116,한샘,어린이공원,,서울특별시 송파구 문정동 66,37.484765,127.1250089454,1688.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00120,훙이,어린이공원,서울특별시 송파구 송이로17길 48,서울특별시 송파구 가락본동 14,37.501139,127.1247542,1500.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00122,늘푸른,소공원,,서울특별시 송파구 마천동 578,37.4986192701,127.1557171018,921.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00123,평화,소공원,,서울특별시 송파구 방이동 42-2,37.516291,127.1119804576,1651.3,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00057,돌마리,어린이공원,서울특별시 송파구 가락로7길 4,서울특별시 송파구 석촌동 258,37.5006205,127.103249,1715.6,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00058,돌무데기,어린이공원,,서울특별시 송파구 마천동 375,37.492001,127.155103,97.6,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00059,동호수,어린이공원,서울특별시 송파구 송파대로48길 28,서울특별시 송파구 송파동 34,37.50991906,127.1070996,1469.7,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00060,모슬,어린이공원,,서울특별시 송파구 거여동 28-7,37.492376,127.145466,550.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00061,몽촌,어린이공원,,서울특별시 송파구 방이동 150,37.5129338861,127.114841,1560.8,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00062,무궁화,어린이공원,,서울특별시 송파구 가락동 134,37.4931940068,127.127074,1500.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00063,문현,어린이공원,,서울특별시 송파구 장지동 838-1,37.481238,127.128143,1523.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00064,반딧불,어린이공원,,서울특별시 송파구 문정동 47,37.4878879558,127.1241011796,1489.2,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00065,방잇골,어린이공원,,서울특별시 송파구 방이동 70-1,37.5134110572,127.110304,1629.6,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00066,방죽,어린이공원,,서울특별시 송파구 가락본동 28,37.500653,127.122796,1492.1,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00067,배미골,어린이공원,,서울특별시 송파구 거여동 291-1,37.490834,127.1471347485,1500.1,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00068,배밭,어린이공원,,서울특별시 송파구 송파동 178,37.5016066635,127.115347,1475.8,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00069,버들,어린이공원,,서울특별시 송파구 장지동 854-2,37.478761,127.133147,1886.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00070,벌말,어린이공원,서울특별시 송파구 동남로28길 23,서울특별시 송파구 오금동 132,37.501638,127.140281,1502.1,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00071,복숭아,어린이공원,,서울특별시 송파구 오금동 27,37.506812,127.131379,1500.3,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00072,봉우리,어린이공원,서울특별시 송파구 양재대로62길 3213,서울특별시 송파구 가락본동 85,37.496495,127.119238,1495.2,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00073,부렴,어린이공원,,서울특별시 송파구 잠실본동 296,37.505621,127.079254,1659.8,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00074,비둘기,어린이공원,,서울특별시 송파구 방이동 195,37.512742,127.123352,1500.2,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00075,비석거리,어린이공원,,서울특별시 송파구 가락본동 96-15,37.494525,127.117497,1624.5,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00076,뽕밭,어린이공원,,서울특별시 송파구 잠실본동 220,37.507773,127.081067,1125.6,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00077,삼밭,어린이공원,,서울특별시 송파구 삼전동 70,37.4995186536,127.092841,1646.1,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00078,삼밭나루,어린이공원,,서울특별시 송파구 삼전동 95,37.505115,127.091718,1434.1,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00079,삼전,어린이공원,,서울특별시 송파구 삼전동 51,37.5018109248,127.090203,1644.7,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00080,삼학사,어린이공원,서울특별시 송파구 백제고분로27길 4024,서울특별시 송파구 삼전동 110-7,37.506232,127.095323,1648.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00081,새마을,어린이공원,서울특별시 송파구 석촌호수로12길 117,서울특별시 송파구 잠실본동 209-4,37.508222,127.086579,1667.3,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00082,새말,어린이공원,서울특별시 송파구 송이로23길 1628,서울특별시 송파구 가락동 145-10,37.494731,127.125727,1498.1,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00083,새싹,어린이공원,,서울특별시 송파구 송파동 107,37.5048235089,127.1127220187,1806.4,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00084,샛별,어린이공원,,서울특별시 송파구 가락본동 51,37.497957,127.121754,1500.0,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
